MemTotal:       32579776 kB
MemFree:        31222148 kB
MemAvailable:   31396564 kB
Buffers:            1188 kB
Cached:           570232 kB
SwapCached:            0 kB
Active:           180452 kB
Inactive:         442972 kB
Active(anon):      89044 kB
Inactive(anon):        0 kB
Active(file):      91408 kB
Inactive(file):   442972 kB
Unevictable:        9620 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:                 0 kB
Writeback:             0 kB
AnonPages:         61944 kB
Mapped:            38160 kB
Shmem:             36672 kB
KReclaimable:      23468 kB
Slab:             162148 kB
SReclaimable:      23468 kB
SUnreclaim:       138680 kB
KernelStack:        5952 kB
PageTables:         4572 kB
SecPageTables:      2084 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    16289888 kB
Committed_AS:     250420 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      176740 kB
VmallocChunk:          0 kB
Percpu:            11200 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:     8192 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      337600 kB
DirectMap2M:     4622336 kB
DirectMap1G:    28311552 kB
